epoch,n_parameters,test_acc1,test_acc5,test_loss,train_loss,train_lr
0,397488,2.104323539057643,10.547124454491966,3.7948978688658737,3.7898852395229654,1.0000000000000177e-06
1,397488,2.1553374062902906,10.929728708314647,3.788635034386705,3.7896547412774604,1.0000000000000177e-06
2,397488,7.141946465426935,26.616503705176875,3.650009539069199,3.759923734381551,1.3300000000000296e-05
3,397488,23.708711445840883,58.38541152680685,3.1916573163939685,3.660477630916189,2.5600000000000402e-05
4,397488,41.07894512245111,73.65132144129622,2.6101989070089853,3.4844119946976178,3.7900000000000386e-05
5,397488,53.57735119977634,82.50223306860946,2.151502531112694,3.307991634382576,5.020000000000022e-05
6,397488,60.70654392619474,85.44828553522687,1.7489184410106846,3.1584216395362477,6.121523355274855e-05
7,397488,64.58360049512036,86.58334468320504,1.638398012191784,3.022589050599786,6.065663275456506e-05
8,397488,69.67223722742249,89.1723002134697,1.5047746702301792,2.96373069384059,6.00017101272322e-05
9,397488,72.88611297646342,90.37112689471309,1.390434192266406,2.891427790776628,5.925305035115054e-05
10,397488,74.6843530966028,91.92705080129407,1.3014921878532666,2.843129185257388,5.841360804442755e-05
11,397488,77.94924269244312,94.35021125356575,1.181432182832462,2.809944585332128,5.748669610234329e-05
12,397488,79.05879499583565,94.56702024257696,1.12185104900017,2.7523154006873973,5.647597262286447e-05
13,397488,81.12485809141299,96.19946496898066,1.0371280630550734,2.7194694893770532,5.538542646981091e-05
14,397488,82.41295922932127,97.53857984276485,1.0196669979429827,2.721382445365679,5.421936153062763e-05
15,397488,83.20367457911975,97.87017019724544,0.9840350474526243,2.6812545771970124,5.298237973090438e-05
16,397488,85.58857445363533,98.58436484641528,0.971184339283443,2.650971960459576,5.167936287267691e-05
17,397488,85.30799800141584,98.6608856516428,0.800103704195197,2.6307846414016898,5.031545336819918e-05
18,397488,86.6853733157613,99.06899670626554,0.8496047703594696,2.6279301390540404,4.889603394517059e-05
19,397488,86.64711294233791,99.2858058178764,0.8149568336765941,2.6033829967262316,4.742670640358409e-05
20,397488,89.49113798682718,99.2858058178764,0.7770389499279057,2.5795721949123944,4.591326950797305e-05
21,397488,89.93750971553429,99.45160101263092,0.7606982255309094,2.574019698578803,4.4361696102342175e-05
22,397488,91.0343084608987,99.60464271649522,0.7772105995838235,2.5580224979852066,4.277810953807781e-05
23,397488,91.81227049446277,99.66841012424176,0.7176162990309843,2.5356989237861556,4.116875950787458e-05
24,397488,91.42966594289813,99.60464276319985,0.7886603022130524,2.537496575566589,3.953999738106267e-05
25,397488,92.89631592407927,99.70667050350322,0.6782751484069882,2.536748992981481,3.789825113764452e-05
26,397488,92.50095826693753,99.64290309575668,0.7126287882466141,2.488287178830045,3.6250000000000807e-05
27,397488,93.30442715384434,99.681163615132,0.6859043609441781,2.531015676919554,3.460174886235604e-05
28,397488,93.3044269553497,99.66841017094639,0.6741538093220897,2.485523064361244,3.296000261893755e-05
29,397488,93.21515254247038,99.68116356842738,0.6989150141797414,2.478656863091422,3.133124049212507e-05
30,397488,93.63601736529203,99.681163615132,0.6849353004519533,2.493225844057857,2.972189046192281e-05
31,397488,94.05688215600428,99.77043781784052,0.6302266170884051,2.484868201930992,2.813830389765752e-05
32,397488,94.08238890134258,99.75768437365491,0.6412033974760916,2.482564729745271,2.6586730492026805e-05
33,397488,94.41397934923243,99.82145159458297,0.6115211427393483,2.471654354670986,2.5073293596417372e-05
34,397488,94.33745846227183,99.79594475291636,0.5722895595358639,2.462217353284359,2.360396605483032e-05
35,397488,94.5160072238116,99.78319135543538,0.6770545318722725,2.4589219937314755,2.2184546631801286e-05
36,397488,94.69455578101865,99.82145168799221,0.578159366257307,2.4324045105547203,2.0820637127322235e-05
37,397488,94.6945559269706,99.83420513217781,0.5685817347612323,2.440026983740877,1.9517620269096715e-05
38,397488,94.69455567593326,99.79594475291636,0.5731345107097451,2.4306350455420915,1.828063846937207e-05
39,397488,94.73281619530857,99.78319130873075,0.6023410589593213,2.4162679314613342,1.7114573530187632e-05
40,397488,94.8858578407921,99.78319121532151,0.5471381105300857,2.443335389626808,1.6024027377135282e-05
41,397488,94.89861149514851,99.78319126202612,0.6099480395091743,2.414279348659711,1.5013303897657885e-05
42,397488,94.96237889121889,99.83420513217781,0.5538803937776786,2.4172384118447536,1.4086391955572123e-05
43,397488,94.93687189776227,99.84695857636342,0.5192684319506331,2.4159339787285834,1.3246949648848779e-05
44,397488,94.97513234708066,99.77043786454514,0.5694369253043722,2.430813960120326,1.2498289872767272e-05
45,397488,95.12817392250726,99.83420513217781,0.5479379046435763,2.436210115913485,1.1843367245433386e-05
46,397488,95.05165318733665,99.83420513217781,0.501782968095163,2.4127247818425053,1.1284766447252052e-05
47,397488,95.08991353156965,99.82145173469682,0.5807619522802714,2.430803690166747,1.0824692020373366e-05
48,397488,95.07716004067942,99.85971206725365,0.5755928281422068,2.4370834100686136,1.0464959668371974e-05
49,397488,95.15368086925926,99.85971206725365,0.5643750088425671,2.428047307446355,1.020698909049505e-05
